loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.4209,3.605969190597534,4.9000000000000005e-06,2.3914373088685017,50,,,,,,,,,
0.8523,3.2730822563171387,9.9e-06,4.782874617737003,100,,,,,,,,,
0.5809,3.1438262462615967,9.466666666666667e-06,7.146788990825688,150,,,,,,,,,
0.3821,2.5329556465148926,8.91111111111111e-06,9.53822629969419,200,,,,,,,,,
,,,9.53822629969419,200,0.8201252818107605,34.8279,4.221,1.062,,,,,
0.2454,2.098763942718506,8.355555555555556e-06,11.929663608562691,250,,,,,,,,,
0.1571,1.6097207069396973,7.800000000000002e-06,14.293577981651376,300,,,,,,,,,
0.0971,2.445286273956299,7.244444444444445e-06,16.68501529051988,350,,,,,,,,,
0.0546,1.00724458694458,6.688888888888889e-06,19.04892966360856,400,,,,,,,,,
,,,19.04892966360856,400,1.0934507846832275,36.6307,4.013,1.01,,,,,
0.033,1.728861689567566,6.133333333333334e-06,21.440366972477065,450,,,,,,,,,
0.0176,0.6556406617164612,5.577777777777778e-06,23.831804281345565,500,,,,,,,,,
0.0106,0.9535436034202576,5.022222222222223e-06,26.195718654434252,550,,,,,,,,,
0.0069,0.19050604104995728,4.4666666666666665e-06,28.587155963302752,600,,,,,,,,,
,,,28.587155963302752,600,1.263057827949524,38.5785,3.81,0.959,,,,,
0.0048,0.14703303575515747,3.911111111111112e-06,30.978593272171253,650,,,,,,,,,
0.0036,0.07109764963388443,3.3555555555555557e-06,33.342507645259936,700,,,,,,,,,
0.0032,0.08577612042427063,2.8000000000000003e-06,35.73394495412844,750,,,,,,,,,
0.0029,0.05868792161345482,2.2444444444444445e-06,38.09785932721712,800,,,,,,,,,
,,,38.09785932721712,800,1.3361117839813232,38.5081,3.817,0.961,,,,,
0.0026,0.10810448229312897,1.688888888888889e-06,40.489296636085626,850,,,,,,,,,
0.0025,0.1046382263302803,1.1333333333333334e-06,42.88073394495413,900,,,,,,,,,
0.0023,0.047310810536146164,5.777777777777778e-07,45.24464831804281,950,,,,,,,,,
0.0023,0.03809134662151337,2.2222222222222224e-08,47.63608562691132,1000,,,,,,,,,
,,,47.63608562691132,1000,1.3544533252716064,39.3656,3.734,0.94,,,,,
,,,47.63608562691132,1000,,,,,56665.7296,1.129,0.018,1.794048858169344e+19,0.19414194269478321
